id,pais
0,Exterior
8,Abu Dhabi
9,Dirce
13,Afeganistão
17,Albânia, República da
20,Alboran-Perejil, Ilhas
23,Alemanha
25,Alemanha, Republica Democrática
31,Burkina Faso
37,Andorra
40,Angola
41,Anguilla
43,Antigua Barbuda
47,Antilhas Holandesas
53,Arábia Saudita
59,Argélia
63,Argentina
64,Armênia, República da
65,Aruba
69,Austrália
72,Áustria
73,Arzebaijão, República do
77,Bahamas, Ilhas
80,Bahrein, Ilhas
81,Bangladesh
83,Barbados
85,Belarus, República da
87,Bélgica
88,Belize
90,Bermudas
93,Mianmar (Birmânia)
97,Bolívia
98,Bósnia-Herzegovina, República da
100,Int. Z. F. Manaus
101,Botswana
105,Brasil
106,Fretado P/Brasil
108,Brunei
111,Bulgária, República da
115,Burundi
119,Butão
127,Cabo Verde, República de
131,Cachemira
137,Cayman, Ilhas
141,Camboja
145,Camarões
149,Canadá
150,Jersey, Ilha do Canal
151,Canárias, Ilhas
152,Canal, Ilhas
153,Cazaquistão, República do
154,Catar
158,Chile
160,China, República Popular
161,Formosa (Taiwan)
163,Chipre
165,Cocos-Keeling, Ilhas
169,Colômbia
173,Comores, Ilhas
177,Congo
183,Cook, Ilhas
187,Coréia, República Popular Democrática
190,Coréia, República da
193,Costa do Marfim
195,Croácia, República da
196,Costa Rica
198,Coveite (kuwait)
199,Cuba
229,Benin
232,Dinamarca
235,Dominica, Ilha
237,Dubai
239,Equador
240,Egito
243,Eritreia
244,Emirados Árabes Unidos
245,Espanha
246,Eslovênia, República da
247,Eslovaca, República
249,Estados Unidos
251,Estônia, República da
253,Etiópia
255,Falkland (Ilhas Malvinas)
259,Feroe, Ilhas
263,Fezzan
267,Filipinas
271,Finlândia
275,França
281,Gabão
285,Gambia
289,Gana
291,Geórgia, República da
293,Gibraltar
297,Granada
301,Grécia
305,Groenlândia
309,Guadalupe
313,Guam
317,Guatemala
325,Guiana Francesa
329,Guiné
331,Guiné-Equatorial
334,Guiné-Bissau
337,Guiana
341,Haiti
345,Honduras
351,Hong Kong
355,Hungria, República da
357,Iemen
358,Iemen do Sul
359,Man, Ilha de
361,Índia
365,Indonésia
367,Inglaterra
369,Iraque
372,Irã, República Islâmica do
375,Irlanda
379,Islândia
383,Israel
386,Itália
388,Servia e Montenegro
391,Jamaica
395,Jammu
396,Johnston, Ilhas
399,Japão
403,Jordânia
411,Kiribati
420,Laos, República Popular Democrática
423,Lebuan, Ilhas
426,Lesoto
427,Letônia, República da
431,Líbano
434,Libéria
438,Líbia
440,Liechtenstein
442,Lituânia, República da
445,Luxemburgo
447,Macau
449,Macedônia
450,Madagascar
452,Ilha da Madeira
455,Malásia
458,Malavi (Maláui)
461,Maldivas
464,Mali
467,Malta
472,Marianas do Norte
474,Marrocos
476,Marshall, Ilhas
477,Martinica
485,Maurício
488,Mauritânia
490,Midway, Ilhas
493,México
494,Moldavia, República da
495,Mônaco
497,Mongólia
499,Micronésia
501,Montserrat, Ilhas
505,Moçambique
507,Namíbia
508,Nauru
511,Christmas,Ilhas (Navidad)
517,Nepal
521,Nicarágua
525,Niger
528,Nigéria
531,Niue, Ilha
535,Norfolk, Ilha
538,Noruega
542,Nova Caledônia
545,Papua Nova Guiné
548,Nova Zelândia
551,Vanuatu
556,Omã
563,Pacífico, Ilhas do (administração dos EUA)
566,Pacífico, Ilhas do (possessão dos EUA)
569,Pacífico, Ilhas do (território em fideicomisso dos)
573,Países Baixos (Holanda)
575,Palau
576,Paquistão
578,Palestina
580,Panamá
583,Papua Nova Guiné
586,Paraguai
589,Peru
593,Pitcairn, Ilha de
599,Polinésia Francesa
603,Polônia, República da
607,Portugal
611,Porto Rico
623,Quênia
625,Quirguiz, República da
628,Reino Unido
640,República Centro-Africana
647,República Dominicana
660,Reunião, Ilha
665,Zimbabue
670,Romênia
675,Ruanda
676,Rússia, Federação da
677,Salomão, Ilhas
678,Saint Kitts e Nevis
685,Saara Ocidental
687,El salvador
690,Samoa
691,Samoa Americana
695,São Cristóvão e Neves, Ilhas
697,San Marino
700,São Pedro e Miquelon
705,São Vicente e Granadinas
710,Santa Helena
715,Santa Lúcia
720,São Tomé e Príncipe, Ilhas
728,Senegal
731,Seychelles
735,Serra Leoa
738,Sikkim
741,Cingapura
744,Síria, República Árabe da
748,Somália
750,Sri Lanka
754,Suazilândia
756,África do Sul, República da
759,Sudão
764,Suécia
767,Suíça
770,Suriname
772,Tadjiquistão, República do
776,Tailândia
780,Tanzânia, República Unida da
782,Território Britânico no Oceano Índico
783,Djibuti
785,Território de Alta Comissão do Pacífico Ocidental
788,Chade
790,Tchecoslovaquia
791,Tcheca, República
795,Timor Leste
800,Togo
805,Toquelau, Ilhas
810,Tonga
815,Trinidad e Tobago
820,Tunísia
823,Turcas e caicos, Ilhas
824,Turcomenistão, República do
827,Turquia
828,Tuvalu
831,Ucrânia
833,Uganda
840,União das Republicas Socialistas Soviéticas
845,Uruguai
847,Uzbequistão, República do
848,Vaticano, Estado da Cidade do
850,Venezuela
855,Vetname Norte
858,Vietnã
863,Virgens, Ilhas (Britânicas)
866,Virgens, Ilhas (EUA)
870,Fiji
873,Wake, Ilha
875,Wallis e Futuna, Ilhas
888,Congo, República Democrática do
890,Zâmbia
9999,Brasil (Naturalizado Brasileiro)
